Brand, Type, Color, Name, TD, Owned, Uuid
Anycubic,PLA,#e63d41,Bright Red,3.2,false,{6ec174c6-681c-41ed-80d5-d361611fa110}
BambuLab Basic,PLA,#000000,Black,0.6,false,{43eb13d1-f422-4d84-9bce-37a0e10a2158}
BambuLab Basic,PLA,#0086d6,Cyan,3.2,false,{d509b126-021e-4289-8f51-f3ad9ae256fe}
BambuLab Basic,PLA,#e5e438,Yellow,4.8,false,{3d555b4e-0304-423a-b0b7-2a09bbaf8186}
BambuLab Basic,PLA,#ec008c,Magenta,4,false,{47cc226d-c7d9-48c8-b848-2c481cebb53c}
Elegoo,PLA,#df8334,Orange,7.2,false,{f39cdf19-c629-414d-92ae-97f814a0a258}
Elegoo,PLA+,#e7ecf0,White,6.4,false,{2822784a-a630-4b2f-9938-92fb59974924}
PolyChroma Matte,PLA,#724e3d,Army Brown,0.3,false,{abcd}
Kingroon,PLA,#09bc8a,Green,4.8,false,{ccf5062e-c3da-4e75-979f-e82491ecc3dc}
