Brand, Type, Color, Name, TD, Owned, Uuid
Bambu,PLA,#000000,Black,0.6,false,{43eb13d1-f422-4d84-9bce-37a0e10a2158}
Bambu,PLA,#0086d6,Cyan,3.2,false,{d509b126-021e-4289-8f51-f3ad9ae256fe}
Bambu,PLA,#384290,Blue,3.2,false,{766f745e-c390-4c9d-8653-b16db19a1228}
Elegoo,PLA,#874c1c,Brown,4.4,false,{defdef}
Elegoo,PLA,#df8334,Orange,7.2,false,{f39cdf19-c629-414d-92ae-97f814a0a258}
Elegoo,PLA+,#e7ecf0,White,6.4,false,{2822784a-a630-4b2f-9938-92fb59974924}
3DHoJor,PLA,#363e53,Grey,2.2,false,{deadbe}
